,batch_num,percent_correct
0,0.0,0.59375
1,50.0,0.59375
2,100.0,0.671875
3,150.0,0.78125
4,200.0,0.65625
5,250.0,0.6875
6,300.0,0.625
7,350.0,0.65625
8,400.0,0.625
9,450.0,0.640625
10,500.0,0.609375
11,550.0,0.671875
12,600.0,0.671875
13,650.0,0.78125
14,700.0,0.71875
15,750.0,0.734375
16,800.0,0.78125
17,850.0,0.796875
18,900.0,0.796875
19,950.0,0.859375
20,1000.0,0.859375
21,1050.0,0.8125
22,1100.0,0.8125
23,1150.0,0.765625
24,1200.0,0.890625
25,1250.0,0.75
26,1300.0,0.734375
27,1350.0,0.796875
28,1400.0,0.84375
29,1450.0,0.890625
30,1500.0,0.921875
31,1550.0,0.9375
32,1600.0,0.765625
33,1650.0,0.859375
34,1700.0,0.796875
35,1750.0,0.875
36,1800.0,0.875
37,1850.0,0.859375
38,1900.0,0.828125
39,1950.0,0.8125
40,2000.0,0.921875
41,2050.0,0.90625
42,2100.0,0.9375
43,2150.0,0.890625
44,2200.0,0.890625
45,2250.0,0.859375
46,2300.0,0.90625
47,2350.0,0.921875
48,2400.0,0.9375
49,2450.0,0.875
50,2500.0,0.84375
51,2550.0,0.921875
52,2600.0,0.90625
53,2650.0,0.890625
54,2700.0,0.96875
55,2750.0,0.890625
56,2800.0,0.921875
57,2850.0,0.859375
58,2900.0,0.9375
59,2950.0,0.875
60,3000.0,0.90625
61,3050.0,0.9375
62,3100.0,0.96875
63,3150.0,0.9375
64,3200.0,0.9375
65,3250.0,0.96875
66,3300.0,0.953125
67,3350.0,0.953125
68,3400.0,0.953125
69,3450.0,0.953125
70,3500.0,0.921875
71,3550.0,0.984375
72,3600.0,0.90625
73,3650.0,1.0
74,3700.0,0.953125
75,3750.0,0.953125
76,3800.0,0.921875
77,3850.0,0.921875
78,3900.0,0.890625
79,3950.0,0.984375
80,4000.0,0.953125
81,4050.0,0.96875
82,4100.0,0.921875
83,4150.0,0.96875
84,4200.0,0.9375
85,4250.0,1.0
86,4300.0,0.921875
87,4350.0,0.984375
88,4400.0,0.984375
89,4450.0,0.9375
90,4500.0,0.984375
91,4550.0,0.96875
92,4600.0,0.96875
93,4650.0,0.953125
94,4700.0,0.96875
95,4750.0,1.0
96,4800.0,1.0
97,4850.0,0.953125
98,4900.0,0.921875
99,4950.0,0.984375
